id,text,sentiment,,,
1,KTT G20 bukti bahwa Indonesia diakui dunia. Pak Jokowi Hebat  https://t.co/lcH4efdKoL,2,,,
53353,fucek indihom lemot bgt,1,,,
53354,indihome sumpah lagi ulanga jelek bgttt ga nge load load,1,,,
53355,@IndiHomeCare tolong dong ini indihome nyebelin bgt jangan janji doang,1,,,
53356,indihome gajelas !!!,1,,,
53357,"Indihome lemot bgt anjim , gimana mau kelar ini kerjaan gue ??",1,,,
53358,Selamat hari pancasila dan indihome semakin maju??,2,,,
53359,"Hebat perlu pamer di media
Orang tak tahu baiknya kita
Jahat kita tak nampak di mata
Ada peluang kita menyata

Namp� ",0,,,
53360,"akhirnya indihome lancar, mks gan???? @lrstyhesty",2,,,
53361,Segudang SDM profesional di Telkom diyakini mampu mengurusi perusahaan dengan baik.,2,,,
53363,Kuatkan terus tekad untuk meraih target yang ingin dicapai. #SemangatPagi Sobat!  Jangan lupa retweet semua posting�,2,,,
53364,MasyaAllah indihome????,2,,,
53365,@WwTrisari Jaringan indihome jernih sekali????,2,,,
53366,"Telkom dan Netflix kerja sama jaga kualitas streaming
https://t.co/XGMEIpXqEd ",2,,,
53371,indihome terbaik,2,,,
53374,duet maut indihome dan netflix #ThursdayOnNetflix,2,,,
53375,Bersama netflix dan indihome kita happy.. #ThursdayOnNetflix*,2,,,
53376,Emang nih IndiHome selalu memberikan yang terbaik ???? sinyal kenceng streaming Netflix  lancar banget   #ThursdayOnNetflix,2,,,
53377,"Berkah Menanti untuk ISAT, TLKM dan EXCL ",2,,,
53378,indihome luar biasa yah,2,,,
53380,Saya cinta telkomsel,2,,,
53381,@IndiHomeCare terima kasih sudah menanggapi keluhanku dg sangat baik. Pagi ini petugas Indihome datang ke rumahku d�,2,,,
53383,memang andalannn????,2,,,
53384,"selain wifinya yang bermanfaat, ilmunya juga nii haha???? ",2,,,
53385,semoga TLKM 4000 amiin amiin,0,,,
53386,"jalan jalan ke Malang
pulangnya beli sejadah
ciee @indihome menang
semogaa hadiahnya berkah ?????? ",2,,,
53387,terimakasih indihome pelayanannya sangat baik ??,2,,,
53388,"Wah aku cinta sekali dengan Indihome.

*??",2,,,
53389,indihome selalu dihati.,2,,,
53390,indihome kece,2,,,
53391,"Aasyiapppp, pasti makin lancar jaringan dirumah???? ",2,,,
53393,Waow telkomsel 13GB Rp58.000 ??,2,,,
53394,Indihome luar biasa,2,,,
53395,Mau bangettttt ??,2,,,
53396,Wajib dibookmarks nih??,2,,,
53397,Luar biasa??,2,,,
53399,Yeay sekarang papua makin berjaya,2,,,
53400,"Demi apasi 100mbps , beruntung bangett ?? ",2,,,
53401,"wow, ini termasuk membangun negeri biar lebih maju kedepannya?? ",2,,,
53402,Masyarakat Papua pasti senang nih karena akses internetnya jadi merata karena ada jaringan indihome #WonderfulPapua�,2,,,
53403,Papua maju bersama Indihome,2,,,
53404,Keren banget indihome sudah menyelenggaran kegiatan untuk mendukung aktivitas dan kreatifitas untuk warga papua  ??�,2,,,
53405,Kami sebagai warga lokal bersyukur sekali pada paman Indihome dukung PON 2021 ke Papua kami,2,,,
53406,$TLKM potensi bullish pennant,0,,,
53407,"Papua maju bersama Indihome 
#WonderfulPapua 
#MajuTerusBersamaIndiHome ",2,,,
